Id,Name,Type,Industry,CreatedDate
001000000000001,Acme Corporation,Customer,Manufacturing,2024-01-10T09:00:00Z
001000000000002,Edge Communications,Prospect,Technology,2024-01-12T10:30:00Z
001000000000003,United Oil & Gas,Customer,Energy,2024-01-15T14:15:00Z
001000000000004,Burlington Apparel,Customer,Apparel,2024-01-16T08:45:00Z
001000000000005,Pyramid Construction,Partner,Construction,2024-01-17T11:20:00Z
001000000000006,東京サンプル株式会社,顧客,製造業,2024-01-20T09:30:00Z
001000000000007,Global Media,Prospect,Media,2024-01-22T10:00:00Z
001000000000008,Blue Star Consulting,Customer,Consulting,2024-01-23T10:15:00Z
001000000000009,Northwind Traders,Partner,Distribution,2024-01-24T10:30:00Z
001000000000010,Alpine Ski House,Customer,Retail,2024-01-25T10:45:00Z
001000000000011,Contoso Pharmaceuticals,Prospect,Healthcare,2024-01-26T11:00:00Z
001000000000012,Fabrikam Manufacturing,Customer,Manufacturing,2024-01-29T11:15:00Z
001000000000013,Adventure Works,Partner,Travel,2024-01-30T11:30:00Z
001000000000014,Wide World Importers,Customer,Import,2024-01-31T11:45:00Z
001000000000015,Fourth Coffee,Prospect,Food,2024-02-01T12:00:00Z
001000000000016,Graphic Design Institute,Customer,Education,2024-02-02T12:15:00Z
001000000000017,Coho Winery,Partner,Beverage,2024-02-05T12:30:00Z
001000000000018,City Power and Light,Customer,Utilities,2024-02-06T12:45:00Z
001000000000019,Humongous Insurance,Prospect,Insurance,2024-02-07T13:00:00Z
001000000000020,Lucerne Publishing,Customer,Publishing,2024-02-08T13:15:00Z
001000000000021,Proseware Services,Partner,Services,2024-02-09T13:30:00Z
001000000000022,Southridge Video,Customer,Entertainment,2024-02-12T13:45:00Z
001000000000023,Trey Research,Prospect,Research,2024-02-13T14:00:00Z
001000000000024,Woodgrove Bank,Customer,Financial Services,2024-02-14T14:15:00Z
001000000000025,Datum Corporation,Partner,Technology,2024-02-15T14:30:00Z
001000000000026,Northern Trail Outfitters,Customer,Retail,2024-02-16T14:45:00Z
001000000000027,Cloud Kicks,Prospect,Retail,2024-02-19T15:00:00Z
001000000000028,Universal Containers,Customer,Logistics,2024-02-20T15:15:00Z
001000000000029,DreamHouse Realty,Partner,Real Estate,2024-02-21T15:30:00Z
001000000000030,Ursa Major Solar,Customer,Energy,2024-02-22T15:45:00Z
